Order No,Cust ID,Order Date,Order Status,Order Amount,Feedback
4.26E+18,6X894534,21-01-2001 00:36,Other,,My order arrived two weeks late and the box was damaged.
4.26E+18,0WWO4742,21-01-2001 06:24,Other,,"love the new clothing line, the quality is amazing!"
4.26E+18,V4OO4168,21-01-2001 06:47,Other,,The book I wanted was out of stock for weeks. Disappointing.
4.26E+18,V4OO4168,21-01-2001 06:51,Other,,Website is slow and hard to navigate. Couldn't find the search bar easily.
4.26E+18,Z8EA4622,21-01-2001 09:02,Other,,"The checkout process failed multiple times, had to re-enter my payment info."
4.26E+18,Z8EA4622,21-01-2001 09:08,Won,6984,My headphones stopped working after just one month. Poor product quality.
4.26E+18,DVU07776,21-01-2001 12:53,Other,,"Delivery was surprisingly fast, great service!"
4.26E+18,IMEE2234,21-01-2001 13:36,Other,,The kitchen appliance I bought is not working as advertised.
4.26E+18,GD478317,21-01-2001 14:02,Other,,The cream i ordered caused a skin reaction. very unhappy with this.
4.26E+18,GD478317,21-01-2001 14:04,Other,,"Everything is perfect, your electronics are top-notch."
4.26E+18,Z8EA4622,21-01-2001 14:22,Other,16476,Why is shipping so expensive?? It cost half as much as my item!
4.26E+18,G5KJ0509,21-01-2001 15:30,Other,,The t-shirt I received was the wrong size. The return process is confusing.
4.26E+18,Z8EA4622,21-01-2001 17:17,Won,9588,Good prices and fast delivery. Will shop here again.
4.26E+18,9QG05414,21-01-2001 18:52,Other,,Flawless experience as always. Your book collection is unparalleled.
4.26E+18,HLZ97397,21-01-2001 19:07,Other,,my package was left in the rain and the contents were ruined.
4.26E+18,MI576362,21-01-2001 19:07,Other,,The KYC verification process for the Insurance is a nightmare. It faill multiple times.
4.26E+18,72WR6797,21-01-2001 19:24,Other,,GREAT DEALS ON HOLIDAY PACKAGES TO GOA! VISIT MY WEBSITE.
4.26E+18,F1F18432,21-01-2001 19:44,Other,,THE WEBSITE IS VERY USER-FRIENDLY AND EASY TO NAVIGATE. A GREAT EXPERIENCE.
4.26E+18,4R8C6589,21-01-2001 21:10,Other,,I was on hold for 45 minutes when I called your Mobile App. Terrible support.
4.26E+18,NDV40863,21-01-2001 21:12,Other,,THE PROCESS ON THE PHONE CALL WAS INCREDIBLY SMOOTH AND FAST!
4.26E+18,XX8R7474,21-01-2001 21:28,Other,,The Website kept crashing when I tried to apply for a Insurance.
4.26E+18,DWRY9228,21-01-2001 21:29,Other,,MY APPLICATION FOR A INSURANCE WAS REJECTED WITHOUT ANY EXPLANATION. WHAT A WASTE OF TIME.
4.26E+18,FBU52874,21-01-2001 22:22,Other,,The process on thfIn-Person Branch was incredibly smooth and fast!
4.26E+18,OLU34010,21-01-2001 22:49,Other,,I was on hold for 45 minutes when I called your Phone Call. Terrible support.
4.26E+18,OLU34010,21-01-2001 23:23,Other,,The process on the Website was incredibly smooth and fast!
4.26E+18,OLU34010,21-01-2001 23:32,Other,,My application for a Savings Account was rejected without any explanation. What a waste of time.
4.26E+18,347L3208,21-01-2001 23:39,Other,,The KYC verification process for the Insurance is a nightmare. It failed multiple times.
4.26E+18,TT6R6578,21-01-2002 00:29,Other,,WHAT IS THE NEXT STEP AFTER APPLYING FOR A SAVINGS ACCOUNT VIA THE PHONE CALL?
4.26E+18,W5UL4430,21-01-2002 06:13,Other,,The Phone Call kept crashing when I tried to apply for a Credit Card.
4.26E+18,W5UL4430,21-01-2002 06:27,Other,,the staff i spoke to via website were so helpful and patient.
4.26E+18,DVU07776,21-01-2002 07:51,Other,,I was on hold for 45 minutes when I called your Mobile App. Terrible support.
4.26E+18,DVU07776,21-01-2002 07:55,Other,,Just confirming that my documents for the Savings Account were received.
4.26E+18,BLG00000,21-01-2002 08:30,Other,,Customer service on your Phone Call was useless. They couldn't answer any of my questions.
4.26E+18,BLG00000,21-01-2002 08:32,Other,,THE PHONE CALL KEPT CRASHING WHEN I TRIED TO APPLY FOR A INSURANCE.
4.26E+18,BLG00000,21-01-2002 08:36,Other,,Why does it take over two weeks to get a simple Savings Account approved?
4.26E+18,NAX96592,21-01-2002 09:04,Other,,why does it take over two weeks to get a simple credit card approved?
4.26E+18,PDOX8585,21-01-2002 09:28,Other,,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,X1Y82412,21-01-2002 09:57,Other,,The app isfuggy and keeps logging me out while I'm trying to manage my Savings Account.
4.26E+18,YJ5Q1394,21-01-2002 10:43,Other,,my new savings account is now active.
4.26E+18,U9A36475,21-01-2002 11:15,Other,,my application for a insurance was rejected without any explanation. what a waste of time.
4.26E+18,P3P11239,21-01-2002 12:07,Other,,The process on the Phone Call was incredibly smooth and fast!
4.26E+18,IDQR5836,21-01-2002 12:17,Other,,THE MOBILE APP KEPT CRASHING WHEN I TRIED TO APPLY FOR A INSURANCE.
4.26E+18,K6536692,21-01-2002 12:29,Other,,Received a quote for my Savings Account.
4.26E+18,QF2G8228,21-01-2002 12:53,Won,1450,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,BLXI6985,21-01-2002 13:45,Other,,REQUESTING MORE INFORMATION ABOUT THE INSURANCE BENEFITS.
4.26E+18,X3664756,21-01-2002 13:53,Other,,THE STAFF I SPOKE TO VIA PHONE CALL WERE SO HELPFUL AND PATIENT.
4.26E+18,X3664756,21-01-2002 13:58,Other,,I was approved for my Savings Account in minutes. Excellent service.
4.26E+18,X3664756,21-01-2002 14:11,Other,,Customer service on your In-Person Branch was useless. They couldn't answer any of my questions.
4.26E+18,9NGI3001,21-01-2002 14:50,Other,,I have submitted my application for the Insurance.
4.26E+18,5VZ32690,21-01-2002 15:05,Other,,Is this where I order a taxi? I'm late for a meeting.
4.26E+18,6X894534,21-01-2002 15:15,Other,,What is the next step after applying for a Credit Card via the Mobile App?
4.26E+18,I9D95707,21-01-2002 15:23,Other,,What is the next step after applying for a Credit Card via the Phone Call?
4.26E+18,Y4Z67206,21-01-2002 15:29,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Insurance.
4.26E+18,Y4Z67206,21-01-2002 15:33,Other,,I was on hold for 45 minutes when I called your Phone Call. Terrible support.
4.26E+18,PLGS2835,21-01-2002 15:53,Other,,The information on the Website is misleading and outdated.
4.26E+18,9NGI3001,21-01-2002 16:16,Other,,my new savings account is now active.
4.26E+18,D2EB6521,21-01-2002 16:19,Other,,I was approved for my Credit Card in minutes. Excellent service.
4.26E+18,6X894534,21-01-2002 16:26,Other,,Just confirming that my documents for thzSavings Account were received.
4.26E+18,6X894534,21-01-2002 16:27,Other,,Great deals on holiday packages to Goa! Visit my website.
4.26E+18,SEYY4911,21-01-2002 16:33,Other,,Received a quote for my Credit Card.
4.26E+18,SEYY4911,21-01-2002 16:46,Other,,what is the next step after applying for a insurance via the website?
4.26E+18,YKH84753,21-01-2002 16:59,Other,,Received a quote for my Savings Account.
4.26E+18,X3664756,21-01-2002 17:16,Other,,THE IN-PERSON BRANCH IS VERY USER-FRIENDLY AND EASY TO NAVIGATE. A GREAT EXPERIENCE.
4.26E+18,SEYY4911,21-01-2002 17:21,Other,,The KYC verification process for the Insurance is a nightmare. It failed multiple times.
4.26E+18,X3664756,21-01-2002 17:24,Other,,THE KYC VERIFICATION PROCESS FOR THE CREDIT CARD IS A NIGHTMARE. IT FAILED MULTIPLE TIMES.
4.26E+18,9NGI3001,21-01-2002 17:45,Won,887,Why does it take over two weeks to get a simple Credw Card approved?
4.26E+18,71WQ4347,21-01-2002 17:47,Other,,Is there an annual fee for this Insurance?
4.26E+18,ZS231580,21-01-2002 17:48,Other,,The In-Person Branch is very user-friendly and easy to navigate. A great experience.
4.26E+18,DVU07776,21-01-2002 17:57,Other,,Everything was clear and transparent from tc start. Very happy with the Savings Account.
4.26E+18,ZIPL1022,21-01-2002 18:17,Other,,This is a test comment.
4.26E+18,3K3A3827,21-01-2002 18:46,Other,,The KYC verification process for the Savings Account is a nightmare. It failed multiple times.
4.26E+18,3K3A3827,21-01-2002 18:51,Other,,Requesting more information about the Savings Account benefits.
4.26E+18,HLZ97397,21-01-2002 19:03,Other,,Love the benefits offered with my new Insurance. Highly recommend.
4.26E+18,6X894534,21-01-2002 19:11,Won,887,THE IN-PERSON BRANCH KEPT CRASHING WHEN I TRIED TO APPLY FOR A CREDIT CARD.
4.26E+18,Z8EA4622,21-01-2002 19:22,Other,,The In-Person Branch kept crashing when I tried to apply for a Credit Card.
4.26E+18,VR3M4494,21-01-2002 19:42,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Credit Card.
4.26E+18,VR3M4494,21-01-2002 19:45,Other,,What is the next step after applying for a Insurance via the Mobile App?
4.26E+18,DVU07776,21-01-2002 19:48,Other,,The Mobile App kept crashing when I tried to apply for a Savings Account.
4.26E+18,VR3M4494,21-01-2002 19:50,Other,,the mobile app kept crashing when i tried to apply for a insurance.
4.26E+18,DVU07776,21-01-2002 20:02,Other,,just confirming that my documents for the credit card were received.
4.26E+18,DVU07776,21-01-2002 20:04,Other,,Is there an annual fee for this Credit Cvd?
4.26E+18,8WTK1802,21-01-2002 20:10,Other,,THE APP IS BUGGY AND KEEPS LOGGING ME OUT WHILE I'M TRYING TO MANAGE MY CREDIT CARD.
4.26E+18,IFPS1808,21-01-2002 20:17,Other,,THE APP IS BUGGY AND KEEPS LOGGING ME OUT WHILE I'M TRYING TO MANAGE MY INSURANCE.
4.26E+18,DAON9332,21-01-2002 20:31,Other,,Got my Insurance documents and welcome kit very quickly. Super efficient!
4.26E+18,JNRI1209,21-01-2002 20:44,Other,,Just confirming that my documents for the Credit Card were received.
4.26E+18,YSKF2302,21-01-2002 21:25,Other,,The Mobile App kept crashing when I tried to apply for a Insurance.
4.26E+18,JNRI1209,21-01-2002 21:58,Other,,I was on hold for 45 minutes when I called your Website. Terrible support.
4.26E+18,IN7H6011,21-01-2002 22:03,Other,,Why does it take over two weeks to get a simple Insurance approved?
4.26E+18,6SCK0627,21-01-2002 22:07,Other,,The In-Person Branch kept crashing when I tried to apply for a Credit Card.
4.26E+18,IN7H6011,21-01-2002 22:12,Other,,the process on the phone call was incredibly smooth and fast!
4.26E+18,Z7T16962,21-01-2002 22:16,Other,,Is this where I order a taxi? I'm late fx a meeting.
4.26E+18,9NGI3001,21-01-2002 22:26,Other,,The In-Person Branch kept crashing when I tried to apply for a Savings Account.
4.26E+18,X5600222,21-01-2002 23:13,Other,,Is this where I order a taxi? I'm late for a meeting.
4.26E+18,X5600222,21-01-2002 23:20,Other,,Requesting more information about the Savings Account benefits.
4.26E+18,8DD39923,21-01-2002 23:27,Other,,The Phone Call kept crashing when I tried to apply for a Insurance.
4.26E+18,65YM0488,21-01-2002 23:27,Other,,I was on hold for 45 minutes when I called your Mobile App. Terrible support.
4.26E+18,X5600222,21-01-2002 23:28,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Credit Card.
4.26E+18,X5600222,21-01-2002 23:39,Other,,The staff I spoke to via Phone Call were so helpful and patient.
4.26E+18,X5600222,21-01-2002 23:41,Other,,My application for a Credit Card was rejected without any explanation. What a waste of time.
4.26E+18,X5600222,21-01-2003 00:01,Other,,WHY DOES IT TAKE OVER TWO WEEKS TO GET A SIMPLE SAVINGS ACCOUNT APPROVED?
4.26E+18,X5600222,21-01-2003 00:04,Other,,I have submitted my application for the Savings Account.
4.26E+18,VUIP3643,21-01-2003 00:13,Other,,My new Credit Card is now active.
4.26E+18,H1EP4045,21-01-2003 00:17,Other,,Everything was clear and transparent from the start. Very happy with the Credit Card.
4.26E+18,H1EP4045,21-01-2003 00:19,Other,,CUSTOMER SERVICE ON YOUR PHONE CALL WAS USELESS. THEY COULDN'T ANSWER ANY OF MY QUESTIONS.
4.26E+18,A3I06677,21-01-2003 00:43,Other,,I was approved for my Insurance in minutes. Excellent service.
4.26E+18,A3I06677,21-01-2003 00:45,Other,,I was on hold for 45 minutes when I called your Website. Terrible support.
4.26E+18,RQKE6777,21-01-2003 02:48,Other,,the staff i spoke to via website were so helpful and patient.
4.26E+18,O9L06496,21-01-2003 03:10,Other,,your website color scheme is boring. you should use more orange.
4.26E+18,TI8R1735,21-01-2003 03:39,Other,,My application for a Credit Card was rejected without any explanation. What a waste of time.
4.26E+18,TI8R1735,21-01-2003 03:41,Other,,Got my Credit Card documents and welcome kit very quickly. Super efficient!
4.26E+18,Q36H2208,21-01-2003 05:30,Other,,The process on the Website was incredibly smooth and fast!
4.26E+18,85O69812,21-01-2003 06:37,Other,,Is there an annual fee for this Insurance?
4.26E+18,85O69812,21-01-2003 06:45,Other,,There are so many hidden fees! The Insurance costs way more than advertised.
4.26E+18,KIJA5202,21-01-2003 07:49,Other,,Your website color scheme is boring. You should use moredrange.
4.26E+18,Y4Z67206,21-01-2003 08:29,Other,,There are so many hidden fees! The Savings Account costs way more than advertised.
4.26E+18,IN7H6011,21-01-2003 08:56,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Insurance.
4.26E+18,X37K4212,21-01-2003 08:58,Other,,The staff I spoke to via In-Person Branch were so helpful and patient.
4.26E+18,HHWH6868,21-01-2003 09:48,Other,,The Mobile App is very user-friendly and easy to navigate. A great experience.
4.26E+18,ZTOT0124,21-01-2003 10:16,Other,,Customer service on your Website was useless. They couldn't answer any of my questions.
4.26E+18,HM9K1056,21-01-2003 10:20,Other,,There are so many hidden fees! The Insurance costs way more than advertised.
4.26E+18,ZTOT0124,21-01-2003 10:21,Other,,i have submitted my application for the credit card.
4.26E+18,HM9K1056,21-01-2003 10:22,Other,,I have submitted my application for the Credit Card.
4.26E+18,X37K4212,21-01-2003 10:50,Other,,The Website is very user-friendly and easy to navigate. A great experience.
4.26E+18,EP446346,21-01-2003 11:21,Other,,My application for a Savings Account was rejected without any explanation. What a waste of time.
4.26E+18,EP446346,21-01-2003 11:28,Other,,The KYC verification process for the Insurance is a nightmare. It failed multiple times.
4.26E+18,65YM0488,21-01-2003 11:33,Other,,THE KYC VERIFICATION PROCESS FOR THE CREDIT CARD IS A NIGHTMARE. IT FAILED MULTIPLE TIMES.
4.26E+18,VUIP3643,21-01-2003 11:55,Other,,Learn how to triple your income with my new book!
4.26E+18,EP446346,21-01-2003 11:55,Other,,I was on hold for 45 minutes when I called your In-Person Branch. Terrible support.
4.26E+18,9DP02390,21-01-2003 11:55,Other,,The KYC verification process for the Savings Account is a nightmare. It failed multiple times.
4.26E+18,LD8V6913,21-01-2003 11:55,Other,,THERE ARE SO MANY HIDDEN FEES! THE SAVINGS ACCOUNT COSTS WAY MORE THAN ADVERTISED.
4.26E+18,1YM11886,21-01-2003 12:08,Other,,Received a quote for my Savings Account.
4.26E+18,1YM11886,21-01-2003 12:10,Other,,Your website color scheme is boring. You should use more orange.
4.26E+18,9RG79749,21-01-2003 12:32,Other,,The app is buggy and keeps logging me out while I'm trying to manage my Credit Card.
